"GAS_FLOW_DAY","GEO_LOCATION","CWV"
14/02/2020,"SC",3.21
14/02/2020,"WM",4.71
15/02/2020,"SC",3.49
15/02/2020,"WM",5.77
16/02/2020,"SC",2.54
16/02/2020,"WM",5.02
17/02/2020,"SC",3.26
17/02/2020,"WM",4.76
18/02/2020,"SC",2.65
18/02/2020,"WM",4.36
19/02/2020,"SC",3.42
19/02/2020,"WM",4
20/02/2020,"SC",2.82
20/02/2020,"WM",3.51
21/02/2020,"SC",3.68
21/02/2020,"WM",4.66
22/02/2020,"SC",2.33
22/02/2020,"WM",5.93
23/02/2020,"SC",3.22
23/02/2020,"WM",5.92
24/02/2020,"SC",2.23
24/02/2020,"WM",5.96
25/02/2020,"SC",2.56
25/02/2020,"WM",4.19
26/02/2020,"SC",1.9
26/02/2020,"WM",3.24
27/02/2020,"SC",2.09
27/02/2020,"WM",2.83
28/02/2020,"SC",1.69
28/02/2020,"WM",3.29
29/02/2020,"SC",1.69
29/02/2020,"WM",3.75
01/03/2020,"SC",2.46
01/03/2020,"WM",3.98
02/03/2020,"SC",2.94
02/03/2020,"WM",3.85
03/03/2020,"SC",3.64
03/03/2020,"WM",3.98
04/03/2020,"SC",3.79
04/03/2020,"WM",3.69
05/03/2020,"SC",3.23
05/03/2020,"WM",2.82
06/03/2020,"SC",3.17
06/03/2020,"WM",4.17
07/03/2020,"SC",4.15
07/03/2020,"WM",5.2
08/03/2020,"SC",4.85
08/03/2020,"WM",6.2
09/03/2020,"SC",4.85
09/03/2020,"WM",5.9
10/03/2020,"SC",5.12
10/03/2020,"WM",7.9
11/03/2020,"SC",4.38
11/03/2020,"WM",7.34
12/03/2020,"SC",3.57
12/03/2020,"WM",5.98
13/03/2020,"SC",3.97
13/03/2020,"WM",5.99
14/03/2020,"SC",4.59
14/03/2020,"WM",6.55
15/03/2020,"SC",5.16
15/03/2020,"WM",5.92
16/03/2020,"SC",4.66
16/03/2020,"WM",6.43
17/03/2020,"SC",5.51
17/03/2020,"WM",7.22
18/03/2020,"SC",4.23
18/03/2020,"WM",6.56
19/03/2020,"SC",4.65
19/03/2020,"WM",5.42
20/03/2020,"SC",4.54
20/03/2020,"WM",5.18
21/03/2020,"SC",4.44
21/03/2020,"WM",5.4
22/03/2020,"SC",4.93
22/03/2020,"WM",5.54
23/03/2020,"SC",5.49
23/03/2020,"WM",5.93
24/03/2020,"SC",6.17
24/03/2020,"WM",7.59
25/03/2020,"SC",6.9
25/03/2020,"WM",7.92
26/03/2020,"SC",6.68
26/03/2020,"WM",7.47
27/03/2020,"SC",6.22
27/03/2020,"WM",6.64
28/03/2020,"SC",5.49
28/03/2020,"WM",5.74
29/03/2020,"SC",5.4
29/03/2020,"WM",4.98
30/03/2020,"SC",6.45
30/03/2020,"WM",5.39
31/03/2020,"SC",6.57
31/03/2020,"WM",6.14
