"SITE_REFERENCE","GAS_FLOW_DAY","ENERGY_VALUE"
"SC02",19/07/2019,8.1
"SC02",20/07/2019,8.45
"SC02",21/07/2019,7.22
"SC02",22/07/2019,5.93
"SC02",23/07/2019,5.64
"SC02",24/07/2019,5.64
"SC02",25/07/2019,6.89
"SC02",26/07/2019,7.81
"SC02",27/07/2019,6.89
"SC02",28/07/2019,7.5
"SC02",29/07/2019,6.59
"SC02",30/07/2019,5.64
"SC02",31/07/2019,5
"SC02",01/08/2019,6.23
"SC02",02/08/2019,8.08
"SC02",03/08/2019,7.75
"SC02",04/08/2019,7.13
"SC02",05/08/2019,5.61
"SC02",06/08/2019,6.25
"SC02",07/08/2019,6.29
"SC02",08/08/2019,7.24
"SC02",09/08/2019,9.44
"SC02",10/08/2019,6.58
"SC02",11/08/2019,8.45
"SC02",12/08/2019,6.89
"SC02",13/08/2019,8.77
"SC02",14/08/2019,7.55
"SC02",15/08/2019,6.01
"SC02",16/08/2019,3.18
"SC02",17/08/2019,0
"SC02",18/08/2019,0
"SC02",19/08/2019,0
"SC02",20/08/2019,0
"SC02",21/08/2019,0
"SC02",22/08/2019,0
"SC02",23/08/2019,0
"SC02",24/08/2019,0
"SC02",25/08/2019,0
"SC02",26/08/2019,0
"SC02",27/08/2019,0
"SC02",28/08/2019,0
"SC02",29/08/2019,0
"SC02",30/08/2019,7.35
"SC02",31/08/2019,11.85
"SC02",01/09/2019,11.21
"SC02",02/09/2019,12.2
"SC02",03/09/2019,8.99
"SC02",04/09/2019,9.34
"SC02",05/09/2019,10.92
"SC02",06/09/2019,9.66
"SC02",07/09/2019,12.56
"SC02",08/09/2019,9.27
"SC02",09/09/2019,9.91
"SC02",10/09/2019,9.93
"SC02",11/09/2019,8.37
"SC02",12/09/2019,9.66
"SC02",13/09/2019,10.63
"SC02",14/09/2019,10.92
"SC02",15/09/2019,9.29
"SC02",16/09/2019,14.17
"SC02",17/09/2019,13.23
"SC02",18/09/2019,8.37
"SC02",19/09/2019,10.3
"SC02",20/09/2019,10.63
"SC02",21/09/2019,9.34
"SC02",22/09/2019,8.37
"SC02",23/09/2019,8.39
"SC02",24/09/2019,5.81
"SC02",25/09/2019,9.66
"SC02",26/09/2019,9.66
"SC02",27/09/2019,10.92
"SC02",28/09/2019,11.53
"SC02",29/09/2019,9.31
"SC02",30/09/2019,12.49
"SC02",01/10/2019,11.53
"SC02",02/10/2019,11.56
"SC02",03/10/2019,10.28
"SC02",04/10/2019,14.77
"SC02",05/10/2019,7.73
"SC02",06/10/2019,10.3
"SC02",07/10/2019,8.69
"SC02",08/10/2019,7.41
"SC02",09/10/2019,7.39
"SC02",10/10/2019,9.66
"SC02",11/10/2019,13.85
"SC02",12/10/2019,11.91
"SC02",13/10/2019,9.98
"SC02",14/10/2019,8.69
"SC02",15/10/2019,10.28
"SC02",16/10/2019,9.96
"SC02",17/10/2019,10.92
"SC02",18/10/2019,12.24
"SC02",19/10/2019,11.59
"SC02",20/10/2019,13.88
"SC02",21/10/2019,12.91
"SC02",22/10/2019,10.65
"SC02",23/10/2019,9.68
"SC02",24/10/2019,15.46
"SC02",25/10/2019,14.49
"SC02",26/10/2019,25.11
"SC02",27/10/2019,16.1
"SC02",28/10/2019,18.03
"SC02",29/10/2019,15.46
"SC02",30/10/2019,17.02
"SC02",31/10/2019,15.78
"SC02",01/11/2019,16.1
"SC02",02/11/2019,13.88
"SC02",03/11/2019,15.46
"SC02",04/11/2019,10.95
"SC02",05/11/2019,16.38
"SC02",06/11/2019,18.95
"SC02",07/11/2019,21.2
"SC02",08/11/2019,31.48
"SC02",09/11/2019,28.91
"SC02",10/11/2019,24.79
"SC02",11/11/2019,20.61
"SC02",12/11/2019,21.25
"SC02",13/11/2019,27.37
"SC02",14/11/2019,25.82
"SC02",15/11/2019,25.5
"SC02",16/11/2019,24.21
"SC02",17/11/2019,25.44
"SC02",18/11/2019,34.54
"SC02",19/11/2019,22.48
"SC02",20/11/2019,23.39
"SC02",21/11/2019,16.34
"SC02",22/11/2019,26.2
"SC02",23/11/2019,8.03
"SC02",24/11/2019,0
"SC02",25/11/2019,16.1
"SC02",26/11/2019,17.11
"SC02",27/11/2019,21.95
"SC02",28/11/2019,28.98
"SC02",29/11/2019,29.62
"SC02",30/11/2019,32.28
"SC02",01/12/2019,27.51
"SC02",02/12/2019,23.62
"SC02",03/12/2019,20.39
"SC02",04/12/2019,23.24
"SC02",05/12/2019,21.57
"SC02",06/12/2019,24.09
"SC02",07/12/2019,23.77
"SC02",08/12/2019,21.52
"SC02",09/12/2019,25.37
"SC02",10/12/2019,25.69
"SC02",11/12/2019,25.44
"SC02",12/12/2019,24.15
"SC02",13/12/2019,31.31
"SC02",14/12/2019,32.6
